date,speaker,title,timestamp
2023-05-19,Chair Jerome H. Powell,"Conversation with Chair Jerome Powell and Ben Bernanke, former Chair of the Board of Governors of the Federal Reserve System",11:00:00-04:00
2023-05-19,Governor Michelle W. Bowman,Discussion with Governor Michelle Bowman,09:00:00-04:00
2023-05-18,Vice Chair for Supervision Michael S. Barr,Semiannual Hearing on Supervision and Regulation,09:30:00-04:00
2023-05-18,Governor Philip N. Jefferson,Economic Outlook,09:05:00-04:00
2023-05-16,Vice Chair for Supervision Michael S. Barr,Semiannual Hearing on Supervision and Regulation,10:00:00-04:00
2023-05-15,Governor Lisa D. Cook,Commencement Address,17:00:00-04:00
2023-05-13,Governor Lisa D. Cook,Commencement Address,10:30:00-04:00
2023-05-12,Governor Philip N. Jefferson,Panel on Monetary Policy Strategy,19:45:00-04:00
2023-05-11,Governor Christopher J. Waller,Financial Stability and Climate Change,10:30:00-04:00
2023-05-05,Governor Lisa D. Cook,Commencement Address,13:00:00-04:00
2023-06-29,Chair Jerome H. Powell,Dialogue with Bank of Spain Governor Pablo Hernández de Cos,02:30:00-04:00
2023-06-28,Chair Jerome H. Powell,Policy Panel Discussion,09:30:00-04:00
2023-06-22,Governor Michelle W. Bowman,Opening Remarks,09:55:00-04:00
2023-06-22,Governor Christopher J. Waller,Opening Remarks,04:00:00-04:00
2023-06-16,Governor Christopher J. Waller,Financial Stability and Macroeconomic Policy,07:45:00-04:00
2023-07-18,Vice Chair for Supervision Michael S. Barr,Fair Lending Practices,10:00:00-04:00
2023-07-13,Governor Christopher J. Waller,Economic Outlook,18:45:00-04:00
2023-07-10,Vice Chair for Supervision Michael S. Barr,Bank Capital,10:00:00-04:00
2023-08-25,Chair Jerome H. Powell,Economic Outlook,10:05:00-04:00
2023-08-22,Governor Michelle W. Bowman,Opening Remarks,14:30:00-04:00
2023-08-07,Governor Michelle W. Bowman,Opening Remarks,08:30:00-04:00
2023-09-28,Governor Lisa D. Cook,Closing Remarks (via pre-recorded video),13:00:00-04:00
2023-09-26,Governor Michelle W. Bowman,Welcoming Remarks on Post-Pandemic Challenges and Strategies for Addressing Rental Housing Affordability (via pre-recorded video),13:30:00-04:00
2023-09-22,Governor Lisa D. Cook,Keynote Address,08:50:00-04:00
2023-09-07,Governor Michelle W. Bowman,Panel on “The Future of Money and Consumer Protection”,16:55:00-04:00
2023-09-08,Vice Chair for Supervision Michael S. Barr,Payments Innovation,09:00:00-04:00
2023-10-27,Vice Chair for Supervision Michael S. Barr,Opening Remarks,09:00:00-04:00
2023-10-26,Governor Christopher J. Waller,Opening Remarks,09:00:00-04:00
2023-10-25,Chair Jerome H. Powell,Introductory Remarks,16:35:00-04:00
2023-10-19,Vice Chair for Supervision Michael S. Barr,Stress Testing,13:30:00-04:00
2023-10-19,Chair Jerome H. Powell,Economic Outlook,12:00:00-04:00
2023-10-19,Vice Chair Philip N. Jefferson,Opening Remarks,09:00:00-04:00
2023-10-18,Governor Christopher J. Waller,Economic Outlook,12:00:00-04:00
2023-10-18,Governor Lisa D. Cook,The Evolution of the Federal Reserve's Employment Mandate,18:55:00-04:00
2023-10-18,Governor Michelle W. Bowman,Opening Remarks,13:00:00-04:00
2023-10-17,Governor Michelle W. Bowman,Responsible Innovation in Money and Payments,09:20:00-04:00
2023-10-11,Governor Christopher J. Waller,Fireside Chat,10:15:00-04:00
2023-10-11,Governor Michelle W. Bowman,Financial Stability in Uncertain Times,04:15:00-04:00
2023-10-10,Governor Christopher J. Waller,The Evolution of Monetary Policy,13:30:00-04:00
2023-10-09,Vice Chair Philip N. Jefferson,U.S. Economic Outlook and Monetary Policy Transmission,13:30:00-04:00
2023-10-09,Vice Chair for Supervision Michael S. Barr,Bank Regulation,09:15:00-04:00
2023-10-06,Governor Christopher J. Waller,Payments,12:00:00-04:00
2023-10-04,Governor Michelle W. Bowman,"The Role of Research, Data, and Analysis in Banking Reforms",10:25:00-04:00
2023-10-05,Vice Chair for Supervision Michael S. Barr,Cyber Risk in the Banking Sector,12:15:00-04:00
2023-10-02,Vice Chair for Supervision Michael S. Barr,Monetary Policy and Financial Stability,13:00:00-04:00
2023-11-28,Vice Chair for Supervision Michael S. Barr,Community Reinvestment Act,15:30:00-05:00
2023-11-28,Vice Chair for Supervision Michael S. Barr,Community Reinvestment Act,13:05:00-05:00
2023-11-28,Governor Michelle W. Bowman,Monetary Policy and the Economy,10:45:00-05:00
2023-11-28,Governor Christopher J. Waller,Economic Outlook,10:05:00-05:00
2023-11-16,Governor Christopher J. Waller,Central Bank Digital Currency,10:30:00-05:00
2023-11-16,Vice Chair for Supervision Michael S. Barr,Bank Supervision and Regulation,07:10:00-05:00
2023-11-13,Governor Lisa D. Cook,Introductory Remarks,08:50:00-05:00
2023-11-16,Vice Chair for Supervision Michael S. Barr,Financial Stability,10:35:00-05:00
2023-11-16,Governor Lisa D. Cook,Global Linkages and Spillovers,12:00:00-05:00
2023-11-14,Vice Chair Philip N. Jefferson,Keynote on Uncertainty,05:30:00-05:00
2023-11-09,Chair Jerome H. Powell,Policy Panel Discussion,14:00:00-05:00
2023-11-08,Vice Chair Philip N. Jefferson,Closing Remarks,16:45:00-05:00
2023-11-08,Vice Chair for Supervision Michael S. Barr,Community Reinvestment Act,14:00:00-05:00
2023-11-08,Chair Jerome H. Powell,Opening Remarks,09:15:00-05:00
2023-11-08,Governor Lisa D. Cook,Financial Stability,05:15:00-05:00
2023-11-07,Governor Christopher J. Waller,Using Economic Data to Understand the Economy,10:00:00-05:00
2023-11-07,Vice Chair for Supervision Michael S. Barr,Financial Technology,09:15:00-05:00
2023-11-06,Governor Lisa D. Cook,Financial Stability,11:00:00-05:00
2023-11-03,Vice Chair for Supervision Michael S. Barr,Community Reinvestment Act,08:00:00-04:00
2023-11-03,Vice Chair for Supervision Michael S. Barr,Community Reinvestment Act,15:30:00-04:00
2023-12-05,Governor Michelle W. Bowman,Building a More Inclusive Financial System through Collaboration and Action,15:00:00-05:00
2023-12-01,Roundtable Discussion: Chair Jerome H. Powell and Governor Lisa D. Cook,Visit to Spelman College,14:00:00-05:00
2023-12-01,Vice Chair for Supervision Michael S. Barr,Bank Supervision and Regulation,03:00:00-05:00
2023-12-01,Chair Jerome H. Powell,Conversation with Spelman College President Helene Gayle,11:00:00-05:00
2024-01-19,Vice Chair for Supervision Michael S. Barr,Bank Regulation,13:00:00-05:00
2024-01-17,Governor Michelle W. Bowman,The Path Forward for Bank Capital Reform,09:00:00-05:00
2024-01-17,Vice Chair for Supervision Michael S. Barr,Cyber Risk,09:00:00-05:00
2024-01-16,Governor Christopher J. Waller,Economic Outlook,11:00:00-05:00
2024-02-27,Vice Chair for Supervision Michael S. Barr,Counterparty Credit Risk,09:05:00-05:00
2024-02-22,Governor Christopher J. Waller,Economic Outlook,19:35:00-05:00
2024-02-22,Governor Lisa D. Cook,Sources of Uncertainty in the Short Run and the Long Run,17:00:00-05:00
